Date,Municipality,ZipCode,FuelClass,VehicleUse,Count,DailyVMT
2020-01-01,ABINGTON,NULL,Fossil Fuel,Passenger,221,6242.126079
2020-01-01,ABINGTON,NULL,Fossil Fuel,Municipal,2,47.091916
2020-01-01,ABINGTON,NULL,Fossil Fuel,Commercial,200,8676.377858
2020-01-01,ABINGTON,NULL,Hybrid,Passenger,3,92.945388
2020-01-01,ABINGTON,NULL,Zero-Emission,Passenger,1,30.683294
2020-01-01,ABINGTON,02351,Fossil Fuel,Commercial,634,26800.023756
2020-01-01,ABINGTON,02351,Fossil Fuel,Passenger,12559,349273.238955
2020-01-01,ABINGTON,02351,Fossil Fuel,Municipal,76,1408.102052
2020-01-01,ABINGTON,02351,Hybrid,Passenger,137,4244.506052
2020-01-01,ABINGTON,02351,Zero-Emission,Passenger,22,683.514644
2020-01-01,ACTON,NULL,Fossil Fuel,Commercial,156,5968.365718
2020-01-01,ACTON,NULL,Fossil Fuel,State,3,58.264473
2020-01-01,ACTON,NULL,Fossil Fuel,Passenger,208,4981.487944
2020-01-01,ACTON,NULL,Fossil Fuel,Municipal,2,35.362122
2020-01-01,ACTON,NULL,Hybrid,Passenger,9,222.725403
2020-01-01,ACTON,NULL,Zero-Emission,Commercial,1,29.375883
2020-01-01,ACTON,NULL,Zero-Emission,Passenger,6,133.730862
2020-01-01,ACTON,01718,Fossil Fuel,Commercial,5,191.837780
2020-01-01,ACTON,01718,Fossil Fuel,Passenger,412,9830.341761
2020-01-01,ACTON,01718,Hybrid,Passenger,33,816.659811
2020-01-01,ACTON,01720,Fossil Fuel,Passenger,15878,376953.312505
2020-01-01,ACTON,01720,Fossil Fuel,Municipal,189,2762.041463
2020-01-01,ACTON,01720,Fossil Fuel,Commercial,793,31161.277570
2020-01-01,ACTON,01720,Hybrid,Passenger,832,20589.726144
2020-01-01,ACTON,01720,Hybrid,Municipal,2,47.792994
2020-01-01,ACTON,01720,Hybrid,Commercial,5,273.376520
2020-01-01,ACTON,01720,Zero-Emission,Municipal,1,14.696429
2020-01-01,ACTON,01720,Zero-Emission,Passenger,327,7286.793141
2020-01-01,ACUSHNET,NULL,Fossil Fuel,Passenger,81,2239.249854
2020-01-01,ACUSHNET,NULL,Fossil Fuel,Commercial,104,4791.139711
2020-01-01,ACUSHNET,NULL,Hybrid,Passenger,2,65.585760
2020-01-01,ACUSHNET,02743,Fossil Fuel,Passenger,9323,248462.797368
2020-01-01,ACUSHNET,02743,Fossil Fuel,Commercial,624,28950.381518
2020-01-01,ACUSHNET,02743,Fossil Fuel,Municipal,53,819.623672
2020-01-01,ACUSHNET,02743,Hybrid,Passenger,71,2328.294480
2020-01-01,ACUSHNET,02743,Zero-Emission,Passenger,8,255.364324
2020-01-01,ACUSHNET,02743,Zero-Emission,Municipal,3,58.168917
2020-01-01,ACUSHNET,02745,Fossil Fuel,Passenger,42,1119.196425
2020-01-01,ADAMS,NULL,Fossil Fuel,Commercial,26,753.802640
2020-01-01,ADAMS,NULL,Fossil Fuel,Passenger,35,830.600785
2020-01-01,ADAMS,NULL,Hybrid,Passenger,1,27.560849
